 Time	               Bundle ID	              Status	Comment
0.000	                       -	                   -	TALagent Started (system uptime: 103891.72 sec)
0.004	                       -	                   -	Liveness: 0 -> 1 (run_as_server)
0.005	                       -	                   -	Liveness: 1 -> 2 (create_xpc_listener)
0.005	                       -	                   -	Blocking app contact
0.014	                       -	                   -	Successfully read encryption key from keychain in 0.01018 seconds
0.208	                       -	                   -	server_show_windows_for_asns start
0.208	                       -	                   -	Allowing apps to contact us
0.209	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.209	                       -	                   -	Still waiting for registration from Finder
0.210	                       -	                   -	Liveness: 2 -> 3 (add_app)
0.210	                       -	                   -	Finder not yet launched, but pretending it is
0.510	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, _kLSApplicationIsHiddenKey, hidden ? kCFBooleanTrue : kCFBooleanFalse, NULL) produced OSStatus -50 on line 675 in TCApplication.m
0.510	                       -	                   -	_LSSetApplicationInformationItem(kLSDefaultSessionID, asn, TAL_kLSIsProxiedForTALKey, kCFBooleanTrue, NULL) produced OSStatus -50 on line 678 in TCApplication.m
0.518	                       -	                   -	loginwindow launched no apps (but we still have to handle Finder)
0.519	                       -	                   -	Bitmaps Ready (0 apps, 0 windows)
0.520	        com.apple.finder	                   -	Disposing because it has no windows
0.520	        com.apple.finder	            Disposed	
0.520	                       -	                   -	server_show_windows_for_asns end
0.523	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.523	                       -	                   -	Still waiting for registration from Finder
0.523	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.523	                       -	                   -	Still waiting for registration from Finder
0.932	                       -	                   -	TAL launch still in progress because Finder has not checked in
0.932	                       -	                   -	Still waiting for registration from Finder
2.459	                       -	                   -	TAL launch still in progress because Finder has not checked in
2.459	                       -	                   -	Still waiting for registration from Finder
2.520	                       -	                   -	Liveness: 3 -> 2 (__remove_app_block_invoke)
3.298	                       -	                   -	Liveness: 2 -> 1 (__create_xpc_listener_block_invoke)
3.790	                       -	                   -	TAL launch still in progress because Finder has not checked in
3.790	                       -	                   -	Still waiting for registration from Finder
3.905	        com.apple.finder	                   -	Finder checked in
3.905	                       -	                   -	All started apps have registered (no remaining unregistered apps)
3.907	                       -	                   -	TAL Relaunch - all apps registered as ready
15.003	                       -	                   -	Liveness: 1 -> 0 (__run_as_server_block_invoke)
15.003	                       -	                   -	Exiting out of boredom
